MDB::ID_MDB;MDB::Name;MDB::Zusatz;MDB::APP_Subtitel;MDB::Anz_StrasseHausNr;MDB::PLZ;MDB::Stadt;MDB::Bezirk;MDB::App_Phone;MDB::eMail_öffentlich;MDB::URL;MDB::Aus_Fahrverbindung;Öffnungszeiten;MDB::App_Breitengrad;MDB::App_Längengrad;MDB::Filiale;Edition_Kapitel;Edition_Rubriken;Edition_Text;Altersgruppe;APP_Bildbenennung;APP_Fotograf;MDB::APP_Typ
30960;DouDou;Kindersachen;;Knaackstraße 43;10435;Berlin;Prenzlauer Berg;030 46996937;doudou@berlin.de;doudou-berlin.de;U-Bhf. Senefelderplatz, Tram M2;Mo-Fr 10-18.30 Uhr, Sa 10-17.30 Uhr;52,53585;13,41624;;Mode + Stil;Kinderkleidung;Das kleine Geschäft am Kollwitzplatz hat sich auf Designer-Labels spezialisiert, die in Deutschland teilweise noch nicht so bekannt sind. Caramel Baby & Child, Label Rita Corita aus Antwerpen oder Amelia aus Milano machen Kindermode jenseits des Mainstreams und kleiden Prenzlauer Berger Youngsters ganz individuell. Neben einer kleinen Auswahl an Musikinstrumenten und Wärmekissen-Schlaftierchen sind auch Einrichtungsgegenstände der finnischen Firma Marikmekko im Angebot, die sich durch ihre markanten Grafiken auszeichnen. ;0-12 Jahre;tip_30960.jpg;doudou;adress
18350;I Pinco Pallino;;;Kurfürstendamm 46;10707;Berlin;Charlottenburg;030 8812863;storeberlin@ipincopallino.it;www.ipincopallino.it;U-Bhf. Uhlandstraße, Bus 109, 110;Mo-Fr 10-19 Uhr, Sa 10-18 Uhr;52,5018065;13,3192726;;Mode + Stil;Kinderkleidung;Für Sprösslinge bis zu 14 Jahren bietet das italienische Label stylishe Outfits mit dem gewissen Etwas. Für Mädchen, die glitzern möchten, gibt‘s beispielsweise hübsche Kleidchen, die mit  funkelnden Swarovski-Kristallen bestickt sind.;ab 3 Monate;tip_18350.jpg;I Pinco Pallino ;adress
34731;Klix – Kleine Sachen;;;Apostel-Paulus-Straße 1, Ecke Klixstr.;10823;Berlin;Schöneberg;030 66652545;post@klix-berlin.de;www.klix-berlin.de;U-Bhf. Eisenacher Straße;Mo-Fr 10-18 Uhr, Sa 10-16 Uhr;52,48865;13,35076;;Mode + Stil;Kinderkleidung;Im Schöneberger Klix-Laden gibt es neben Kinderkleidung aus erster und zweiter Hand (null bis 6 Jahre) eine Fülle von besonderen und liebevoll angefertigten Kinder-Accessoires und Spielzeugen, wie Schnullerketten, Stempel, Klix-Rasseln und Puppen. Das Augenmerk liegt auf Handarbeit, Berliner Labels und hochwertigen Stoffen. Und die Spielecke lädt genauso zum Verweilen ein, wie der Latte Macchiato für die Großen.;;tip_34731.jpg;Mareike Löchte;adress
37510;Petite Boutique;;;Auguststraße 26a;10117;Berlin;Mitte;030 84710712;ines@petiteboutique-berlin.de;https://www.facebook.com/pages/Petite-Boutique/350713998289353;U-Bhf. Rosenthaler Platz, S-Bhf. Oranienburger Tor;Mo-Fr 11-19, Sa 11-18 Uhr;52,52743;13,39826;;Mode + Stil;Kinderkleidung;Das Angebot in der kleinen Boutique in Mitte hat schon so manche Augen zum Leuchten gebracht. Im schönen Laden findet man Petit Bateau, Imps&Elfs, Gallucci, Pomdapi, Bardossa, Mini Rodini. und viele andere. Schuhe von Pom d´Api, Galucci oder Zecchino d´oro beglücken Kinderfüße, und ausgewählte Modelle gibt es bis Größe 38. Nach dem kleinen Umbau im Frühling 2013 werde Neuaufnahmen wie Lucky Boys Sunday, Blundstone Stiefel und Parkhuis Oost die treue kleine Kundschaft wie eh und je beglücken.;;tip_37510.jpg;Petite Boutique;adress
33720;Søstjernen;;;Rykestraße 31;10405;Berlin;Prenzlauer Berg;030 41717969;berlin@sostjernen.com;www.sostjernen.com;;Di-Fr 11-17.30 Uhr, Sa 10-17 Uhr ;52,53905;13,42226;;Mode + Stil;Kinderkleidung;Sehr skandinavisch kommt das kleine Geschäft daher: puristisch, aufgeräumt und mit dänischem Namen, Seestern zu deutsch. Die Mode stammt von der dänischen Designerin Katrine Leisner und ihrem Label Søstjernen. Die kleine, feine Kollektion aus Biobaumwolle besticht mit schlichtem Design. Auch bei Schuhen wird streng auf Qualität geachtet: mit Petit Nord, Angulus und neuerdings auch New Balance und Feiyue steht Schuhwerk im Regal, das locker noch an die nächsten Kleinen weitergegeben werden kann. Ein Geburtstagskind bekommt 10% Rabatt auf ein Kleidungsstück.;;tip_33720.jpg;Søsterjernen;adress
31159;Vincente;feines Strickdesign aus reinen Naturgarnen;;Dieffenbachstraße 15;10967;Berlin;Kreuzberg;030 24612010;info@vincente.de;www.vincente.de;U-Bhf. Schönleinstraße, Bus M41;Fr 11-19 Uhr, Sa 12-17 Uhr und nach Vereinbarung;52,49261;13,41547;;Mode + Stil;Kinderkleidung;"Die Vincente-Kollektion wird nach eigenen Entwürfen und im eigenen Atelier gefertigt  –handmaschinengestrickt und in überschaubarer Stückzahl. Gut ausgetüftelte Strickmuster und hochwertige Naturgarne wie Merinowolle, Seide und Kaschmir sorgen dafür, dass nichts kratzt, juckt oder drückt. Jedes Teil ist ein Einzelstück, formschön und langlebig. So überdauern die Lieblingsstücke nicht bloß die nächste Geschwistergeneration. 





";;tip_31159.jpg;Marion Freude;adress
28462;sexymama;Mode für Schwangere;;Lychener Straße 52;10437;Berlin;Prenzlauer Berg;030 54714338;info@sexy-mama.de;www.sexy-mama.de;Tram 12;Mo,Fr. 10-19 Uhr, Di,Mi,Do 12-19 Uhr, Sa 11-17 Uhr;52,54442;52,54442;Arndtstraße 29 (Kreuzberg , Tel 50 56 23 51;Mode + Stil;Umstandsmode;Sexymama ist die erste Anlaufstelle für Kleidung in anderen Umständen. Ob nun sexy sportlich oder dezent, die Vielfalt des Angebots, das sich in den Prenzlberger und Kreuzberger Filialen findet, gibt jedem Baby-Bauch die würdige Hülle. Anne Petzold führt in ihren Läden über 40 Marken und berät ihre Kundinnen ehrlich und geduldig. So muss keine während der Schwangerschaft auf ihren individuellen Stil verzichten. ;;tip_28462.jpg;Natale BVBA, Fragile;adress
42215;NICE! Urban Footwear;;;Weserstraße 213;12047;Berlin;Neukölln;030 65213930;;;U-Bhf. Hermannplatz;;52,4883523;13,4265371;;Mode + Stil;Kinderschuhe;Im Kreuzköllner Kiez gibt es in der Weserstraße seit 2012 den Laden für Sneakers! Innen wie außen mit coolen Ornamenten bepinselt, strahlt der Laden schön urbane Lebensfreude aus. Und wie kann man dem Stadtleben besser begegnen als im lässigsten Schuh der Welt!? Und für den kleinen Städter gibt's die Kinderecke.;;tip_42215.jpg;Frank Ekpaknemu;adress
38036;Pomeranza Design Ranch;;;Raumerstraße 19;10437;Berlin;Prenzlauer Berg;030 48495760;office@pomeranza-shop.com;www.pomeranza-shop.com;U-Bhf. Eberswalder Straße;;52,5414959;13,4223957;;Mode + Stil;Accessoires;"Die Pomeranza Design Ranch verbindet das Schöne mit dem Nützlichen. Besonderes und bewährtes Design aus Deutschland und der ganzen Welt wird hier versammelt: Produkte aus Porzellan, Papier, Holz, Textil, Beton und selbst alten Autoreifen. So findet man Geschenke für Jung und Alt. Marken wie Donna Wilson, Nomens Kopenhagen, LeCreuset sind genauso habenswert wie die Produkte der hauseigenen Design-Linie und so klassische Dinge wie Handwerk aus dem Erzgebirge. Und Kaffeetrinken kann hier auch, wer erschöpft ist von all der Fülle.



";;tip_38036.jpg;Lizzi Roberts;adress
37755;schœner.wærs.wenns.schœner.wær;;;Oranienstraße 58a;10969;Berlin;Kreuzberg;030 43201488;info@schoener-waers.de;www.schoener-waers.de;U-Bhf. Moritzplatz, Bus M 29;Mo-Fr 12-19 Uhr, Sa 12-16 Uhr;52,50393;13,41125;;Mode + Stil;Accessoires;"Diese Perle direkt am Moritzplatz zeigt, dass Öko auch schick sein kann. Neben einer großen Auswahl von Papierwaren gibt es auch Wohnaccessoires, Berlin-Souvenirs, originelle Kindersachen, Taschen, D.I.Y.-Spielzeug, ergänzt durch die hauseigene S.W.S.S.W.-Produktlinie. Alles ist aus nachhaltig verwertbaren und abbaubaren Materialien und unter sozial vertretbaren Bedingungen hergestellt. Auch im Online-Shop bekommt man alles – außer natürlich den leckeren Kaffee und die Sonne auf der Terrasse. 
";;tip_37755.jpg;Sebastian Riedel;adress
37870;tausche ;;;Raumerstraße 8;10437;Berlin;Prenzlauer Berg;030 40301770;info@tausche.de;www.tausche.de;U-Bhf. Eberswalder Straße, Tram M2, M10, 12;Mo-Fr 11-20 Uhr, Sa 11-18 Uhr;52,54267;13,41761;Krossener Straße 19 | 10245 Berlin-Friedrichshain | T: 34711150;Mode + Stil;Accessoires;Jeden Tag anders – was wir uns wünschen, wollen wir auch unseren Taschen gönnen! Die Taschen von tausche sind wahre Verwandlungskünstler und passen sich den Bedürfnissen und Launen ihrer Träger perfekt an: Der Deckel ist austauschbar und der Inneneinsatz mal für die Kameraausrüstung, mal für Babyfläschen und Windeln umzufunktionieren. Die Taschendeckel gibt es in vielen schönen Mustern und Farben und ständig kommen neue Designs hinzu! Elf verschiedene Größen von der voluminösen Schwerstarbeiter- bis zur handlichen Vagabundinnentasche. Die zwei Berliner Shops versorgen Fans stets mit Neuware!;;tip_37870.jpg;Birgit Meixner, 2010;adress
40500;Ting;;;Rykestraße 41;10405;Berlin;Prenzlauer Berg;030 53796506;hello@ting-shop.com;www.ting-shop.de;;;52,5370644;13,4212308;;Mode + Stil;Accessoires;"ting - auf Dänisch ""Dinge"" und auf Chinesisch ""kurz anhalten"" - ist ein Laden im Prenzlauer Berg, in dem man wunderbare, handverlesene Sachen entdeckt:Kuschelige Wolldecken, dänische Vintage Möbel, Papierartikel aus China, bunte koreanische Stifte und Acceccoires aus aller Welt finden sich zu einem bunten und ausgefallenen Sortiment zusammen, für das es sich stets lohnt, im schönen Laden nah dem Wasserturm ""kurz anzuhalten"". Und wer mehr Zeit mitbringt, verlängert seine Pause mit einen leckeren Kaffee der Bio-Saft aus Dänemark. 

";;tip_40500.jpg;Benedict Sicheneder;adress
40441;Lunettes Selection;;;Torstraße 172;10115;Berlin;Mitte;030 43739465;uta@lunettes-kollektion;www.lunettes-selection.com;U-Bhf. Rosenthaler Platz;;52,53432;13,42474;Torstraße 172 | 10115 Berlin-Mitte | T: 20215216 | Dunckerstr. 18 | 10437 Berlin-Prenzlauer Berg;Mode + Stil;Kinderbrillen;Vintage-Liebhaber finden hier einen Querschnitt der letzten 100 Jahre Designgeschichte. Von Nerd- bis Nickelbrille sind Klassiker und besondere Stücke dabei – auch die hauseigene Lunettes-Kollektion lohnt einen genaueren Blick in eine der Filialen. Für Kinder gibt es eine feine Auswahl an Korrektur- und Sonnenbrillen und seit diesem Frühjahr auch endlich eine eigene Filiale in der Dunckerstraße. ;;tip_40441.jpg;;adress
37486;apropos_foto;;;Marienburger Straße 31;10405;Berlin;Prenzlauer Berg;030 40056353;contact@apropos-foto.de;www.apropos-foto.de;Tram M2, M4;Mo-Fr 11-19 Uhr, Sa 11-16 Uhr;52,53392;13,42744;;Mode + Stil;Fotografen;À propos gute Bilder: In diesem netten Fotostudio in der Marienburger Straße wird jeder ins richtige Licht gerückt. Das eingespielte Team versteht sich darauf, das Kind mit oder ohne Eltern, aber auch Eltern, die gerade eins erwarten, gekonnt und ungezwungen zu portraitieren. Im Studio oder auch zu Hause oder draußen, die Fotografen stehen bei Fragen mit Rat und Tat zur Seite, so dass sich das Ergebnis sehen lassen kann. Eine tolle Erinnerung. Und im Laden finden sich gleich auch schöne Bildbände, Bilderrahmen und Kalender zum Mitnehmen!;;tip_37486.jpg;Xavier Bonnin;adress
33717;captivation lifephotography;;;Schliemannstr. 29;10437;Berlin;Prenzlauer Berg;030 44035360;mail@captivationstudios.com;www.captivation.de;U-Bhf. Eberswalder Straße, Tram M1, M10;Mo-Fr 10-18 Uhr  und nach Vereinbarung ;52,54443;13,42013;;Mode + Stil;Fotografen;Die Kindheit geht bekanntlich irgendwann vorüber – aber Erinnerungsfotos bleiben. Die beiden Fotografen von Captivation machen daher Bilder, bei denen die Babys und Kinder, aber auch ihre Eltern nach Herzenslust lebendig sein dürfen. Hier wird getobt und gelacht, am liebsten in kräftigen Farben und mit viel Freude. Dieser Eindruck bleibt dann ein Leben lang!;;tip_33717.jpg;Mark Garner / Captivation;adress
38086;familyshooting;;;;;;;0178 880011;info@familyfotoshooting.de;www.familyshooting.de;;;;;;Mode + Stil;Fotografen;"Familien in all ihrer Vielfalt und Schönheit zu porträtieren, mit Bildern, die in einer angenehmen Atmosphäre, zu Hause oder am Lieblingsort, entstehen, das hat sich die Fotografin Yvonne Posdziech zur Aufgabe gemacht. Und die meistert sie hervorragend, denn zwischen Toben und Krümeln entstehen die schönsten Fotos in gewohnter Umgebung. Das Ergebnis wird in einem Leinenfotoalbum und CD festgehalten, zu Preisen, die je nach Familiengrößen variieren. 
";;tip_38086.jpg;Yvonne Amankwa Photography;adress
27208;Atelier für Raumfragen!;Farbgestaltung + Raumberatung;;Käthe-Niederkirchner-Straße 7;10407;Berlin;Prenzlauer Berg;030 32527530;mail@raumfragen.de;www.raumfragen.de;Tram M4;;52,5311964;13,4299956;;Mode + Stil;Wohnen;Wenn man sich mit Kindern die Wohnung teilt, gilt es auch deren Wünsche bei der Einrichtung zu berücksichtigen. Dass Innenarchitekten nicht nur von hippen Leuten mit großem Geldbeutel beauftragt werden, beweist das Atelier für Raumfragen. In einem lockeren Gespräch, am liebsten beim Kunden zu Hause, werden die Kinder befragt und später in die Gestaltung integriert. Auch gemeinsame Wandgestaltungen gehören dazu, um aus der eigenen Wohnung einen schönen und praktischen Rückzugsort für die ganze Familie zu schaffen. ;;tip_27208.jpg;Atelier für Raumfragen;adress
33780;Baby Manufactur;;;Pariser Straße 21;10707;Berlin;Charlottenburg;030 31805752;info@babymanufactur.de;www.babymanufactur.com;;Mo-Fr 11-19 Uhr, Sa 11-16 Uhr;52,5086989;13,3154296875;;Mode + Stil;Wohnen;Dieser hübsche Laden in der Pariser Straße wirkt, als könne der Nachwuchs gleich einziehen: wie ein warmes und gemütliches Zimmer, das mit viel Liebe vorbereitet wurde. Und so findet sich im feinen Sortiment natürlich alles, was Babys und Kinder brauchen. Wagen von Bugaboo, Baby- und Kinderkleidung von Volltreffer,  und Kindermöbel von Isle of dogs machen den Gang in weitere Läden überflüssig.;;tip_33780.jpg;Opsetims;adress
27336;Hase Weiss;Möbel und Spiele für Kinder;;Windscheidstraße 25;10627;Berlin;Charlottenburg;030 31996737;info@haseweiss.de;www.haseweiss.de;;Di-Fr 10-18 Uhr, Sa 11-14 Uhr;52,50608;13,29974;;Mode + Stil;Wohnen;Als Architektin und Mutter von zwei Töchtern weiß Anna Pfeiffer, wie der Hase läuft: Sie kreiert Spielzeug und Kindermöbel, die den Kleinen, solange erhalten bleiben, bis sie groß sind. Tolles Design und praktische Anwendung verbinden sich mit reichen Farben. Was nicht aus dem Hause stammt, ist trotzdem von besonderem Charme: Nostalgisches Spielzeug, nie vergehende Bilderbuchklassiker, niedliche Kleinigkeiten und drollige Verkleidungen. Und das ist noch lange nicht alles!  ;;tip_27336.jpg;Hase Weiss;adress
31736;Marron;Kindermöbel und Wohnaccessoires;;Auguststraße 77/78;10117;Berlin;Mitte;030 28094878;info@marronberlin.de;www.marronberlin.de;U-Bhf. Oranienburger Tor, S-Bhf. Oranienburger Straße;Mo-Fr 11-19 Uhr, Sa 11-18 Uhr;52,52648;13,39328;;Mode + Stil;Wohnen;"Wer schlicht-schönes und funktionales Design liebt, der sollte es seinen Kindern nicht vorenthalten. Die Macher von marron bauen nicht nur ihre eigenen Kindermöbel, sie versorgen auch die Berliner mit den  Produkten des dänischen Labels HAY. Dieses steht für formschönes Interieur mit viel Nutzen. Die beiden Macher von marron betätigen sich auch gerne für Komplettlösungen in Einrichtungsfragen. 

";;tip_31736.jpg;Marron;adress
33797;Frieda Hain;;;Gärtnerstraße 10;10245;Berlin;Friedrichshain;030 41761475;bianca@friedahain.de;www.friedahain.de;U-Bhf. Warschauer Straße/Samariterstraße, S-Bhf. Warschauer Straße;Mo-Fr 11-18.30 Uhr, Sa 11-16 Uhr;52,43518;13,32911;;Mode + Stil;DIY-Bedarf;Frieda Hain ist die Adresse für DIY-Fans in Friedrichshain. Neben einem eigenen Raum mit Stoffen aus aller Welt bietet Bianca Joseph und ihr Team vor allem eins: Professionelle Beratung. Ob passendes Schnittmuster, Bänder und Knöpfe - hier gibt´s fast alles. Außerdem: Gestricktes, Papeterie, Spielzeug, Moyoh-Puppen, ausgewählte Kleidung, Geschirr für Kinder, selbstgestaltete Lampenschirme sowie das dazugehörige Material zum Selbermachen. Für den heimischen Geburtstag kann man sich hier rundum bunt mit schöner Deko eindecken!;;tip_33797.jpg;Alma's Roof;adress
37682;Kinkibox;;;Seumestr. 21;10245;Berlin;Friedrichshain;030 74782802;info@kinkibox.de;www.kinkibox.de;Tram M13, 21;Di+Mi, Fr 13-20 Uhr, Do 13-22 Uhr, Sa 13-18 Uhr, jeder 1.+3. So 13-18 und nach Vereinbarung;52,5097191;13,4618971;;Mode + Stil;DIY-Bedarf;"Ein zauberhafter Ort im Friedrichshain: Ein Mix aus alten Möbeln, Wandbemalung, Tapeten, Bildern lädt ein der eigenen Kreativität zu frönen. Kinkibox ist ein Nähcafé und hat Plätze ebenso wie das komplette Profi-Equipment, von Overlock bis Ledermaschine. Die kleine Boutique bietet eigene Kreationen spannende Modedesignworkshops und Nähkurse an, auch für Kinder und Teenies zwieschen acht und 16. Übrigens ist die Kinkibox auch für Kindergeburtstage ein toller Ort, um selbstdesignte Taschen oder verrückte Kuscheltiere zu nähen. 
";;tip_37682.jpg;kinkibox;adress
35480;Miniberliner;Showroom;;Solmsstr. 18, Showroom;10961;Berlin;Kreuzberg;030 12093976;info@miniberliner-stoffwelten.de;www.stoffladen-berlin.de;U-Bhf. Gneisenaustraße;nach Vereinbarung;52,49131;13,39221;;Mode + Stil;DIY-Bedarf;"Ausgefallene Stoffe aus Amerika, Japan, Frankreich, Skandinavien und Deutschland am laufenden Meter und in fertigen Produkten: bunte Kinderwagenbezüge, Wickelunterlagen, Bettwäsche und viele weitere handgemachte Kindersachen - im Showroom (Öffnungszeiten bitte erfragen) im Bergmannkiez zum Anfassen, im Web zum Bestellen. Neu in diesem Frühjahr: Sonnensegel für den Kinderwagen mit UV-Schutz aus Wunschstoff.

";;tip_35480.jpg;miniberliner;adress
42272;Nähkontor;;;Bötzowstraße 13;10407;Berlin;Prenzlauer Berg;030 40043550;post@naehkontor.de;www.nähkontor.de;Bus 200, Tram M4;;52,530203;13,4319967;;Mode + Stil;DIY-Bedarf;"""Schöne Sachen zum selber machen und selber schöne Sachen machen."" Mit diesem Satz machen Elke Steinbach und Nina Stammer auf ihr Nähkontor aufmerksam. Im Ladengeschäft warten Stoffe und jede Art Kurzware und Nähzubehör auf die DIY-Fans. Und wer bisher nur Fan war, aber noch keine Ahnung hat, der besucht gleich einen Kurs bei den netten Damen!";;tip_42272.jpg;Nähkontor;adress
